# TRAJECTORY TRACKING SUMMARY
Metric,Value,Unit
RMS Error,0.023208,m
Max Error,0.086802,m
Mean Error,0.014080,m
Distance Traveled,6.019361,m
Total Time,44.30,s
Total Samples,348,count

# TIME-SERIES DATA
time,x,y,error
9.700,0.000058,-0.000001,0.000058
9.700,0.000058,-0.000001,0.000058
9.800,0.000479,0.000004,0.000479
9.900,0.004709,0.000370,0.004724
10.000,0.009501,0.001313,0.009592
10.100,0.014157,0.002792,0.014430
10.200,0.018617,0.004787,0.019223
10.300,0.022826,0.007269,0.023955
10.400,0.027645,0.010913,0.029721
10.500,0.033340,0.016269,0.036348
10.600,0.039476,0.023354,0.040344
10.700,0.043640,0.028983,0.043970
10.800,0.049890,0.038926,0.050996
10.900,0.055530,0.049952,0.057983
11.000,0.060687,0.062597,0.062326
11.100,0.065060,0.076443,0.068651
11.200,0.068570,0.091284,0.072371
11.300,0.071108,0.106957,0.076819
11.400,0.072562,0.122928,0.079547
11.500,0.073032,0.139910,0.082466
11.600,0.072467,0.157350,0.083812
11.700,0.070923,0.175101,0.085824
11.800,0.068398,0.193084,0.085492
11.900,0.064981,0.211092,0.086802
12.000,0.060634,0.229171,0.084986
12.100,0.055437,0.247321,0.084512
12.200,0.049467,0.265527,0.082820
12.300,0.042785,0.283659,0.080728
12.400,0.037973,0.295689,0.079590
12.500,0.030224,0.313646,0.077021
12.600,0.021911,0.331449,0.075648
12.700,0.013045,0.349094,0.071558
12.800,0.003685,0.366581,0.069322
12.900,-0.006120,0.383898,0.066119
13.000,-0.016355,0.401032,0.062403
13.100,-0.026977,0.417989,0.060868
13.200,-0.037952,0.434770,0.056023
13.300,-0.049269,0.451365,0.052977
13.400,-0.060895,0.467778,0.050835
13.500,-0.072809,0.484015,0.046036
13.600,-0.085004,0.500068,0.043944
13.700,-0.097455,0.515939,0.040836
13.800,-0.110154,0.531636,0.036650
13.900,-0.123090,0.547152,0.035798
14.000,-0.136248,0.562483,0.031684
14.100,-0.145142,0.572607,0.030549
14.200,-0.158661,0.587639,0.028078
14.300,-0.172389,0.602491,0.023694
14.400,-0.186320,0.617158,0.023958
14.500,-0.200444,0.631629,0.020891
14.600,-0.214767,0.645915,0.016821
14.700,-0.229281,0.660005,0.018828
14.800,-0.243977,0.673888,0.015185
14.900,-0.258868,0.687574,0.011129
15.000,-0.273944,0.701051,0.015183
15.100,-0.289195,0.714306,0.011148
15.200,-0.304639,0.727346,0.006571
15.300,-0.320263,0.740162,0.012913
15.400,-0.336059,0.752737,0.008985
15.500,-0.352046,0.765081,0.003121
15.600,-0.368211,0.777180,0.011714
15.700,-0.384544,0.789018,0.008560
15.800,-0.395524,0.796761,0.008046
15.900,-0.412148,0.808155,0.012114
16.000,-0.428944,0.819275,0.002624
16.100,-0.445928,0.830124,0.007798
16.200,-0.463081,0.840690,0.012848
16.300,-0.480390,0.850955,0.004049
16.400,-0.497880,0.860928,0.007737
16.500,-0.515532,0.870597,0.013669
16.600,-0.533330,0.879945,0.005183
16.700,-0.551300,0.888982,0.007646
16.800,-0.569423,0.897695,0.014415
16.900,-0.587679,0.906070,0.005982
17.000,-0.606096,0.914114,0.007441
17.100,-0.624654,0.921817,0.015044
17.200,-0.643329,0.929164,0.006516
17.300,-0.662153,0.936164,0.007110
17.400,-0.681100,0.942807,0.015556
17.500,-0.693789,0.947030,0.004993
17.600,-0.712923,0.953060,0.012412
17.700,-0.732163,0.958718,0.009729
17.800,-0.751487,0.963995,0.004652
17.900,-0.770927,0.968897,0.011928
18.000,-0.790456,0.973416,0.009954
18.100,-0.810049,0.977545,0.004239
18.200,-0.829737,0.981288,0.011458
18.300,-0.849492,0.984639,0.010131
18.400,-0.869290,0.987593,0.003808
18.500,-0.889160,0.990152,0.011020
18.600,-0.909076,0.992314,0.010286
18.700,-0.929011,0.994073,0.003391
18.800,-0.948995,0.995431,0.010622
18.900,-0.969001,0.996387,0.010430
19.000,-0.989002,0.996938,0.003001
19.100,-1.009029,0.997084,0.010264
19.200,-1.022382,0.996957,0.004491
19.300,-1.042412,0.996428,0.006905
19.400,-1.062423,0.995495,0.013922
19.500,-1.082390,0.994156,0.004478
19.600,-1.102345,0.992411,0.006556
19.700,-1.122261,0.990261,0.014089
19.800,-1.142110,0.987710,0.004504
19.900,-1.161921,0.984753,0.006253
20.000,-1.181669,0.981394,0.014255
20.100,-1.201326,0.977638,0.004571
20.200,-1.220921,0.973480,0.005990
20.300,-1.240428,0.968925,0.014419
20.400,-1.259821,0.963979,0.004668
20.500,-1.279127,0.958636,0.005755
20.600,-1.298322,0.952902,0.014583
20.700,-1.317379,0.946785,0.004784
20.800,-1.336325,0.940277,0.005538
20.900,-1.348884,0.935725,0.008116
21.000,-1.367575,0.928591,0.002341
21.100,-1.386132,0.921073,0.011958
21.200,-1.404533,0.913182,0.008231
21.300,-1.422754,0.904927,0.002163
21.400,-1.440822,0.896296,0.011817
21.500,-1.458712,0.887302,0.008348
21.600,-1.476400,0.877956,0.002012
21.700,-1.493913,0.868246,0.011681
21.800,-1.511228,0.858185,0.008472
21.900,-1.528319,0.847785,0.001882
22.000,-1.545214,0.837033,0.011547
22.100,-1.561890,0.825943,0.008603
22.200,-1.578323,0.814529,0.001763
22.300,-1.594539,0.802776,0.011410
22.400,-1.610516,0.790699,0.008736
22.500,-1.626231,0.778314,0.001643
22.600,-1.636575,0.769877,0.012114
22.700,-1.651875,0.756966,0.002352
22.800,-1.666924,0.743739,0.007878
22.900,-1.681705,0.730213,0.012274
23.000,-1.696197,0.716406,0.002494
23.100,-1.710422,0.702297,0.007721
23.200,-1.724362,0.687905,0.012434
23.300,-1.737998,0.673250,0.002648
23.400,-1.751349,0.658309,0.007563
23.500,-1.764398,0.643104,0.012599
23.600,-1.777128,0.627655,0.002811
23.700,-1.789557,0.611938,0.007402
23.800,-1.801669,0.595976,0.012768
23.900,-1.813448,0.579789,0.002975
24.000,-1.824909,0.563353,0.007236
24.100,-1.836040,0.546691,0.012938
24.200,-1.846824,0.529825,0.003135
24.300,-1.853828,0.518455,0.013715
24.400,-1.864048,0.501228,0.006458
24.500,-1.873928,0.483788,0.003715
24.600,-1.883456,0.466153,0.013522
24.700,-1.892620,0.448347,0.006647
24.800,-1.901434,0.430344,0.003536
24.900,-1.909885,0.412168,0.013333
25.000,-1.917963,0.393843,0.006839
25.100,-1.925679,0.375342,0.003360
25.200,-1.933023,0.356691,0.013141
25.300,-1.939985,0.337913,0.007034
25.400,-1.946575,0.318982,0.003182
25.500,-1.952785,0.299923,0.012947
25.600,-1.958607,0.280761,0.007228
25.700,-1.964047,0.261468,0.002997
25.800,-1.969100,0.242070,0.012751
25.900,-1.973758,0.222592,0.007419
26.000,-1.976648,0.209548,0.009341
26.100,-1.980655,0.189916,0.010830
26.200,-1.984263,0.170229,0.001372
26.300,-1.987478,0.150455,0.009179
26.400,-1.990296,0.130620,0.010988
26.500,-1.992713,0.110751,0.001478
26.600,-1.994733,0.090819,0.009021
26.700,-1.996353,0.070850,0.011150
26.800,-1.997571,0.050871,0.001604
26.900,-1.998389,0.030853,0.008861
27.000,-1.998805,0.010822,0.011315
27.100,-1.998820,-0.009195,0.001734
27.200,-1.998433,-0.029226,0.008697
27.300,-1.997645,-0.049246,0.011480
27.400,-1.996456,-0.069227,0.001858
27.500,-1.994865,-0.089199,0.008532
27.600,-1.992875,-0.109135,0.011644
27.700,-1.991327,-0.122392,0.005158
27.800,-1.988672,-0.142243,0.015015
27.900,-1.985620,-0.162032,0.005185
28.000,-1.982169,-0.181775,0.004992
28.100,-1.978323,-0.201445,0.014830
28.200,-1.974087,-0.221015,0.005370
28.300,-1.969456,-0.240515,0.004813
28.400,-1.964435,-0.259919,0.014644
28.500,-1.959031,-0.279200,0.005557
28.600,-1.953236,-0.298386,0.004633
28.700,-1.947058,-0.317453,0.014455
28.800,-1.940505,-0.336375,0.005743
28.900,-1.933567,-0.355178,0.004447
29.000,-1.926253,-0.373839,0.014266
29.100,-1.918574,-0.392332,0.005925
29.200,-1.910518,-0.410685,0.004260
29.300,-1.902096,-0.428872,0.014077
29.400,-1.896283,-0.440893,0.001307
29.500,-1.887261,-0.458781,0.010663
29.600,-1.877884,-0.476481,0.009504
29.700,-1.868162,-0.493974,0.001235
29.800,-1.858082,-0.511284,0.010513
29.900,-1.847656,-0.528388,0.009657
30.000,-1.836899,-0.545265,0.001192
30.100,-1.825796,-0.561937,0.010360
30.200,-1.814360,-0.578384,0.009814
30.300,-1.802608,-0.594584,0.001164
30.400,-1.790522,-0.610559,0.010204
30.500,-1.778117,-0.626289,0.009970
30.600,-1.765412,-0.641752,0.001138
30.700,-1.752387,-0.656972,0.010047
30.800,-1.739059,-0.671928,0.010125
30.900,-1.725447,-0.686599,0.001135
31.000,-1.711530,-0.701009,0.009890
31.100,-1.702091,-0.710460,0.003716
31.200,-1.687693,-0.724404,0.006483
31.300,-1.673021,-0.738054,0.013715
31.400,-1.658093,-0.751395,0.003894
31.500,-1.642886,-0.764445,0.006310
31.600,-1.627420,-0.777189,0.013895
31.700,-1.611717,-0.789609,0.004070
31.800,-1.595752,-0.801722,0.006134
31.900,-1.579548,-0.813513,0.014076
32.000,-1.563127,-0.824966,0.004245
32.100,-1.546463,-0.836098,0.005955
32.200,-1.529580,-0.846894,0.014256
32.300,-1.512499,-0.857339,0.004415
32.400,-1.495196,-0.867449,0.005774
32.500,-1.477693,-0.877210,0.014435
32.600,-1.460015,-0.886609,0.004587
32.700,-1.442135,-0.895660,0.005596
32.800,-1.430114,-0.901495,0.007970
32.900,-1.411932,-0.909948,0.002321
33.000,-1.393588,-0.918034,0.011999
33.100,-1.375102,-0.925743,0.008174
33.200,-1.356483,-0.933073,0.002184
33.300,-1.337703,-0.940033,0.011855
33.400,-1.318787,-0.946616,0.008321
33.500,-1.299760,-0.952813,0.002062
33.600,-1.280595,-0.958631,0.011707
33.700,-1.261316,-0.964064,0.008467
33.800,-1.241951,-0.969104,0.001935
33.900,-1.222470,-0.973759,0.011558
34.000,-1.202899,-0.978023,0.008614
34.100,-1.183265,-0.981890,0.001812
34.200,-1.163539,-0.985365,0.011409
34.300,-1.143747,-0.988444,0.008762
