# TRAJECTORY TRACKING SUMMARY
Metric,Value,Unit
RMS Error,0.013803,m
Max Error,0.033198,m
Mean Error,0.012418,m
Distance Traveled,12.399591,m
Total Time,66.00,s
Total Samples,662,count

# TIME-SERIES DATA
time,x,y,error
0.000,0.000059,-0.000001,0.000059
0.000,0.000059,-0.000001,0.000059
0.100,0.000059,-0.000001,0.000059
0.200,0.006989,-0.000001,0.006989
0.300,0.023985,-0.000006,0.008912
0.400,0.044152,-0.000261,0.014107
0.500,0.064335,-0.000884,0.010183
0.600,0.084547,-0.001833,0.016422
0.700,0.104771,-0.003075,0.017579
0.800,0.125006,-0.004601,0.016558
0.900,0.145249,-0.006373,0.021926
1.000,0.165492,-0.008361,0.020716
1.100,0.185731,-0.010557,0.020432
1.200,0.205959,-0.012928,0.025309
1.300,0.219434,-0.014588,0.021315
1.400,0.239635,-0.017197,0.024591
1.500,0.259829,-0.019922,0.023687
1.600,0.280017,-0.022758,0.022136
1.700,0.300202,-0.025676,0.025545
1.800,0.320384,-0.028654,0.023013
1.900,0.340564,-0.031688,0.021763
2.000,0.360743,-0.034752,0.025489
2.100,0.380917,-0.037828,0.021513
2.200,0.401081,-0.040911,0.020655
2.300,0.421238,-0.043980,0.024928
2.400,0.441401,-0.047023,0.019395
2.500,0.461569,-0.050036,0.019183
2.600,0.481748,-0.053005,0.022484
2.700,0.501933,-0.055927,0.017010
2.800,0.522117,-0.058785,0.017709
2.900,0.542305,-0.061567,0.019777
3.000,0.555766,-0.063380,0.015524
3.100,0.575965,-0.066027,0.020688
3.200,0.596178,-0.068577,0.013876
3.300,0.616401,-0.071026,0.014030
3.400,0.636635,-0.073366,0.018158
3.500,0.656874,-0.075595,0.011386
3.600,0.677119,-0.077703,0.013161
3.700,0.697378,-0.079684,0.015612
3.800,0.717649,-0.081536,0.009167
3.900,0.737925,-0.083250,0.012934
4.000,0.758212,-0.084822,0.013257
4.100,0.778503,-0.086250,0.007438
4.200,0.798798,-0.087525,0.013322
4.300,0.819105,-0.088644,0.011090
4.400,0.839417,-0.089604,0.006412
4.500,0.859728,-0.090399,0.014212
4.600,0.880044,-0.091023,0.009092
4.700,0.893589,-0.091344,0.011674
4.800,0.913907,-0.091677,0.011022
4.900,0.934224,-0.091830,0.004796
5.000,0.954532,-0.091796,0.012979
5.100,0.974839,-0.091567,0.009189
5.200,0.995137,-0.091144,0.005065
5.300,1.015417,-0.090518,0.014551
5.400,1.035690,-0.089680,0.007472
5.500,1.055948,-0.088629,0.006154
5.600,1.076177,-0.087356,0.016046
5.700,1.096391,-0.085852,0.005992
5.800,1.116578,-0.084116,0.007693
5.900,1.136744,-0.082136,0.014331
6.000,1.156876,-0.079912,0.005014
6.100,1.176954,-0.077433,0.009488
6.200,1.197000,-0.074686,0.012673
6.300,1.216993,-0.071669,0.004775
6.400,1.230282,-0.069503,0.015012
6.500,1.250167,-0.066009,0.005970
6.600,1.269979,-0.062218,0.009613
6.700,1.289734,-0.058115,0.013456
6.800,1.309404,-0.053703,0.006008
6.900,1.328961,-0.048971,0.011774
7.000,1.348436,-0.043897,0.012094
7.100,1.367801,-0.038486,0.006934
7.200,1.387021,-0.032731,0.014085
7.300,1.406135,-0.026607,0.011010
7.400,1.425109,-0.020122,0.008474
7.500,1.443906,-0.013272,0.016482
7.600,1.462567,-0.006032,0.010294
7.700,1.481058,0.001587,0.010275
7.800,1.499343,0.009583,0.017299
7.900,1.517462,0.017981,0.009948
8.000,1.535384,0.026769,0.012105
8.100,1.547203,0.032838,0.011183
8.200,1.564762,0.042271,0.011007
