# TRAJECTORY TRACKING SUMMARY
Metric,Value,Unit
RMS Error,0.018530,m
Max Error,0.067832,m
Mean Error,0.012586,m
Distance Traveled,6.812831,m
Total Time,53.60,s
Total Samples,377,count

# TIME-SERIES DATA
time,x,y,error
16.100,0.000058,-0.000001,0.000058
16.100,0.000058,-0.000001,0.000058
16.200,0.003523,-0.000001,0.003523
16.300,0.015952,0.000038,0.015952
16.400,0.032268,0.000801,0.017588
16.500,0.049000,0.002647,0.028714
16.600,0.066055,0.005593,0.032915
16.700,0.083302,0.009569,0.040261
16.800,0.100679,0.014574,0.045960
16.900,0.112287,0.018432,0.049121
17.000,0.129738,0.025011,0.054268
17.100,0.147153,0.032428,0.057060
17.200,0.164450,0.040584,0.060601
17.300,0.181613,0.049468,0.063982
17.400,0.198665,0.059008,0.064842
17.500,0.215546,0.069101,0.066157
17.600,0.232256,0.079735,0.067802
17.700,0.248828,0.090846,0.067832
17.800,0.265231,0.102341,0.067176
17.900,0.281472,0.114211,0.066893
18.000,0.297583,0.126395,0.067030
18.100,0.313581,0.138827,0.065042
18.200,0.329467,0.151444,0.063198
18.300,0.345253,0.164244,0.061893
18.400,0.360977,0.177181,0.061198
18.500,0.376659,0.190208,0.058024
18.600,0.387098,0.198918,0.056686
18.700,0.402725,0.212020,0.055619
18.800,0.418347,0.225134,0.052106
18.900,0.433989,0.238226,0.049400
19.000,0.449655,0.251292,0.047645
19.100,0.465364,0.264299,0.046373
19.200,0.481131,0.277219,0.042615
19.300,0.496974,0.290035,0.039913
19.400,0.512895,0.302742,0.038485
19.500,0.528905,0.315315,0.037282
19.600,0.545016,0.327735,0.033471
19.700,0.561250,0.339995,0.031035
19.800,0.577598,0.352086,0.030288
19.900,0.594063,0.363984,0.029219
20.000,0.610654,0.375677,0.025431
20.100,0.627392,0.387164,0.023455
20.200,0.644269,0.398437,0.023718
20.300,0.655594,0.405823,0.020878
20.400,0.672705,0.416705,0.019298
20.500,0.689958,0.427344,0.020399
20.600,0.707349,0.437724,0.019071
20.700,0.724878,0.447836,0.015303
20.800,0.742566,0.457684,0.014507
20.900,0.760400,0.467258,0.017077
21.000,0.778367,0.476542,0.014896
21.100,0.796466,0.485528,0.011130
21.200,0.814718,0.494221,0.011405
21.300,0.833110,0.502612,0.015492
21.400,0.851624,0.510688,0.011762
21.500,0.870257,0.518439,0.008098
21.600,0.889032,0.525873,0.009845
21.700,0.907931,0.532979,0.015237
21.800,0.926936,0.539745,0.009326
21.900,0.946043,0.546166,0.006127
22.000,0.958850,0.550256,0.014210
22.100,0.978148,0.556099,0.007971
22.200,0.997529,0.561583,0.005438
22.300,1.017023,0.566710,0.010018
22.400,1.036607,0.571475,0.012451
22.500,1.056262,0.575868,0.006253
22.600,1.076011,0.579893,0.005296
22.700,1.095832,0.583542,0.011023
22.800,1.115703,0.586810,0.010820
22.900,1.135616,0.589691,0.004852
23.000,1.155599,0.592189,0.005945
23.100,1.175628,0.594298,0.012332
23.200,1.195679,0.596015,0.009193
23.300,1.215745,0.597337,0.003756
23.400,1.235851,0.598265,0.007025
23.500,1.255974,0.598798,0.013782
23.600,1.276090,0.598934,0.007510
23.700,1.289493,0.598804,0.007874
23.800,1.309598,0.598280,0.013268
23.900,1.329696,0.597359,0.006328
24.000,1.349759,0.596045,0.003172
24.100,1.369812,0.594337,0.009289
24.200,1.389834,0.592237,0.011467
24.300,1.409804,0.589751,0.004490
24.400,1.429743,0.586879,0.003882
24.500,1.449631,0.583624,0.010765
24.600,1.469449,0.579994,0.009661
24.700,1.489193,0.575996,0.002584
24.800,1.508880,0.571632,0.005131
24.900,1.528493,0.566905,0.012330
25.000,1.548018,0.561828,0.007880
25.100,1.567451,0.556409,0.000587
25.200,1.586807,0.550650,0.006706
25.300,1.606071,0.544559,0.013510
25.400,1.618858,0.540320,0.001006
25.500,1.637961,0.533697,0.007893
25.600,1.656964,0.526764,0.012532
25.700,1.675859,0.519534,0.005551
