# TRAJECTORY TRACKING SUMMARY
Metric,Value,Unit
RMS Error,0.005398,m
Max Error,0.010017,m
Mean Error,0.004548,m
Distance Traveled,3.978095,m
Total Time,23.00,s
Total Samples,232,count

# TIME-SERIES DATA
time,x,y,error
0.000,0.000058,-0.000001,0.000058
0.000,0.000058,-0.000001,0.000058
0.100,0.001213,-0.000001,0.001213
0.200,0.011609,-0.000001,0.008491
0.300,0.030979,-0.000001,0.009222
0.400,0.051371,-0.000001,0.008931
0.500,0.071766,-0.000001,0.008636
0.600,0.092165,-0.000001,0.008337
0.700,0.112568,-0.000001,0.008035
0.800,0.132973,-0.000001,0.007730
0.900,0.153382,-0.000001,0.007422
1.000,0.173794,-0.000001,0.007111
1.100,0.194205,-0.000001,0.006800
1.200,0.214607,-0.000001,0.006499
1.300,0.234998,-0.000001,0.006208
1.400,0.255388,-0.000001,0.005918
1.500,0.275782,-0.000001,0.005625
1.600,0.289380,-0.000001,0.007973
1.700,0.309779,-0.000001,0.008271
1.800,0.330181,-0.000001,0.008573
1.900,0.350588,-0.000001,0.008879
2.000,0.370997,-0.000001,0.009188
2.100,0.391404,-0.000001,0.009494
2.200,0.411801,-0.000001,0.009791
2.300,0.432194,-0.000001,0.010017
2.400,0.452589,-0.000001,0.009723
2.500,0.472988,-0.000001,0.009424
2.600,0.493393,-0.000001,0.009120
2.700,0.513799,-0.000001,0.008814
2.800,0.534202,-0.000001,0.008512
2.900,0.554598,-0.000001,0.008216
3.000,0.574993,-0.000001,0.007921
3.100,0.595392,-0.000001,0.007623
3.200,0.615795,-0.000001,0.007321
3.300,0.629398,-0.000001,0.006282
3.400,0.649800,-0.000001,0.006584
3.500,0.670198,-0.000001,0.006881
3.600,0.690595,-0.000001,0.007177
3.700,0.710994,-0.000001,0.007476
3.800,0.731396,-0.000001,0.007777
3.900,0.751798,-0.000001,0.008079
4.000,0.772198,-0.000002,0.008379
4.100,0.792596,-0.000002,0.008677
4.200,0.812995,-0.000002,0.008975
4.300,0.833395,-0.000002,0.009274
4.400,0.853796,-0.000002,0.009575
4.500,0.874198,-0.000002,0.009876
4.600,0.894597,-0.000002,0.009925
4.700,0.914996,-0.000002,0.009627
